Magnitude,Unit,Alert,Location,Tsunami,Date,Longitude,Latitude,Timestamp
5.4,mww,green,"11 km NE of Rizo de Oro, Mexico",0,2021-06-19,-92.415,16.053,1624129036194
5.4,mww,green,"226 km S of Sand Point, Alaska",0,2021-06-18,-160.2799,53.3069,1624010561128
5.0,mb,,"214 km SSE of Sand Point, Alaska",0,2021-06-14,-159.6363,53.4722,1623667314148
5.0,ml,,"31 km SSE of Boca de Yuma, Dominican Republic",0,2021-06-14,-68.496,18.1195,1623665743030
5.25,mw,green,"11km W of Calipatria, CA",0,2021-06-05,-115.6348333,33.14,1622915758820
5.9,mww,green,"149 km W of Gold Beach, Oregon",1,2021-06-04,-126.218,42.2405,1622794620663
5.9,mww,green,"153 km W of Gold Beach, Oregon",1,2021-06-04,-126.2778,42.2881,1622793163544
6.1,mww,green,"73 km N of Chickaloon, Alaska",1,2021-05-31,-148.2512,62.4492,1622444395581
5.0,mww,,"8 km ENE of Aguililla, Mexico",0,2021-05-11,-102.7126,18.7614,1620707828861
5.3,mww,,off the coast of Oregon,1,2021-04-29,-128.4355,43.8937,1619693913219
5.2,mww,green,off the coast of Oregon,1,2021-04-29,-128.4099,43.871,1619692545108
5.4,mww,green,off the coast of Oregon,0,2021-04-29,-128.0455,43.8194,1619692223208
5.5,mww,green,"28 km SE of Cantwell, Alaska",1,2021-04-08,-148.5799,63.2011,1617901818671
5.4,mww,green,"97 km SW of Altata, Mexico",0,2021-04-04,-108.6576,24.0532,1617561807187
5.2,mww,,Beaufort Sea,1,2021-03-29,-133.0858,72.2987,1617062769564
5.8,mww,green,"65 km NE of Beauséjour, Guadeloupe",0,2021-03-26,-60.7286,16.7936,1616734298912
5.7,mww,yellow,"6 km NNW of Marquelia, Mexico",0,2021-03-19,-98.8402,16.6386,1616209590645
5.3,mww,green,"5 km SSE of Point MacKenzie, Alaska",1,2021-02-27,-149.9334,61.319,1614452365296
5.1,mww,,"290 km W of Bandon, Oregon",1,2021-02-20,-127.92,43.669,1613855753971
5.3,mww,green,"57 km WNW of Akhiok, Alaska",1,2021-02-13,-155.0386,57.1463,1613221735027
5.4,ml,green,"76 km E of Cruz Bay, U.S. Virgin Islands",0,2021-01-24,-64.0708,18.2516,1611530501140
5.0,mww,,"71 km S of King Cove, Alaska",0,2021-01-24,-162.1691,54.4249,1611522982341
5.1,mww,,"Unimak Island region, Alaska",0,2021-01-11,-163.9531,53.6763,1610349543668
5.7,mww,green,"212 km W of Bandon, Oregon",1,2020-12-29,-126.9951,43.389,1609225829079
5.0,mww,,"89 km SSE of Sand Point, Alaska",1,2020-12-18,-159.7805,54.6462,1608336642420
5.3,mww,,"203 km S of Sand Point, Alaska",1,2020-12-16,-160.0638,53.5231,1608097763788
5.4,mww,green,"18 km ESE of El Carrizal, Mexico",0,2020-12-08,-95.2266,16.0067,1607450202337
5.1,ml,green,"25 km S of Mina, Nevada",0,2020-12-01,-118.0837,38.1637,1606865576573
5.7,mww,green,south of Alaska,1,2020-12-01,-150.5827,53.6855,1606840548161
