Year,Magnitude,Unit,Alert,Location,Tsunami,Date,Longitude,Latitude,Timestamp,Severity
1990,88,88,0,88,88,88,88,88,88,88
1991,70,70,1,70,70,70,70,70,70,70
1992,80,80,0,78,80,80,80,80,80,80
1993,58,58,1,58,58,58,58,58,58,58
1994,65,65,0,65,65,65,65,65,65,65
1995,57,57,0,57,57,57,57,57,57,57
1996,65,65,0,65,65,65,65,65,65,65
1997,60,60,0,58,60,60,60,60,60,60
1998,59,59,0,58,59,59,59,59,59,59
1999,67,67,3,67,67,67,67,67,67,67
2000,62,62,0,62,62,62,62,62,62,62
2001,84,84,3,83,84,84,84,84,84,84
2002,92,92,1,92,92,92,92,92,92,92
2003,51,51,0,51,51,51,51,51,51,51
2004,75,75,2,75,75,75,75,75,75,75
2005,60,60,2,60,60,60,60,60,60,60
2006,60,60,1,60,60,60,60,60,60,60
2007,105,105,0,105,105,105,105,105,105,105
2008,114,114,6,112,114,114,114,114,114,114
2009,106,106,4,105,106,106,106,106,106,106
2010,123,123,10,123,123,123,123,123,123,123
2011,82,82,2,82,82,82,82,82,82,82
2012,102,102,2,102,102,102,102,102,102,102
2013,62,62,25,62,62,62,62,62,62,62
2014,67,67,47,67,67,67,67,67,67,67
2015,88,88,40,88,88,88,88,88,88,88
2016,70,70,37,70,70,70,70,70,70,70
2017,98,98,42,98,98,98,98,98,98,98
2018,152,152,66,152,152,152,152,152,152,152
2019,74,74,48,74,74,74,74,74,74,74
2020,120,120,81,119,120,120,120,120,120,120
2021,23,23,15,23,23,23,23,23,23,23
