Magnitude,Unit,Alert,Location,Tsunami,Date,Longitude,Latitude,Timestamp
5.3,mww,,Easter Island region,0,2021-06-30,-113.1362,-28.3338,1625065674102
5.4,mww,green,southern East Pacific Rise,0,2021-06-28,-109.6464,-33.2886,1624854065644
5.0,mb,,Kermadec Islands region,0,2021-06-26,-176.5396,-28.2083,1624751331716
5.1,mww,,Kermadec Islands region,0,2021-06-26,-176.5157,-28.3544,1624747957280
5.4,mww,green,Kermadec Islands region,0,2021-06-26,-176.5479,-28.3334,1624682276709
5.0,mb,,"Kermadec Islands, New Zealand",0,2021-06-25,-177.738,-30.3204,1624676688691
5.4,mww,green,southeast of Easter Island,0,2021-06-25,-102.3484,-35.909,1624668933295
5.1,mb,,Pacific-Antarctic Ridge,0,2021-06-24,-127.1075,-55.039,1624525641119
5.9,mww,yellow,"10 km WSW of Mala, Peru",0,2021-06-22,-76.7173,-12.7077,1624416858721
5.2,mb,,southern East Pacific Rise,0,2021-06-21,-109.5199,-33.2343,1624288511974
5.9,mww,green,"Kermadec Islands, New Zealand",0,2021-06-21,-177.6196,-30.2316,1624274052877
5.4,mww,green,"Kermadec Islands, New Zealand",0,2021-06-20,-177.8217,-30.1675,1624209875511
6.5,mww,green,"Kermadec Islands, New Zealand",1,2021-06-20,-177.8449,-30.2162,1624208750681
5.5,mww,green,"161 km SE of Hihifo, Tonga",0,2021-06-17,-172.7853,-17.04,1623937263546
5.3,mww,,Kermadec Islands region,0,2021-06-15,-177.1656,-31.6206,1623807871037
5.0,mb,,southern Pacific Ocean,0,2021-06-14,-104.9369,-39.7307,1623680290595
5.7,mww,green,"102 km S of Sámara, Costa Rica",0,2021-06-10,-85.4225,8.9622,1623367622435
5.8,mww,green,Kermadec Islands region,0,2021-06-06,-176.2993,-27.6737,1623021399843
5.6,mww,green,"188 km SSE of Alo, Wallis and Futuna",0,2021-06-06,-177.4115,-15.8711,1623003870056
5.5,mww,green,south of Panama,0,2021-06-01,-82.677,5.046,1622546456204
5.2,mww,,"101 km NNW of Nuku‘alofa, Tonga",0,2021-05-30,-175.533,-20.277,1622422122838
5.9,mww,green,Pacific-Antarctic Ridge,0,2021-05-30,-140.7099,-56.8256,1622407671021
5.3,mb,,southern East Pacific Rise,0,2021-05-30,-115.9153,-24.4587,1622394868451
5.1,mb,,southern East Pacific Rise,0,2021-05-30,-116.0248,-24.356,1622393995342
5.3,mww,,"265 km E of Levuka, Fiji",0,2021-05-29,-178.1789,-18.0461,1622346914218
5.7,mww,green,"147 km NW of Neiafu, Tonga",0,2021-05-25,-174.8081,-17.5761,1621978604310
5.0,mb,,"68 km SE of Pangai, Tonga",0,2021-05-22,-173.839,-20.1891,1621726482056
6.5,mww,green,"265 km SSE of Alo, Wallis and Futuna",1,2021-05-21,-177.3725,-16.6009,1621635198379
5.0,mb,,Kermadec Islands region,0,2021-05-21,-177.3257,-28.1336,1621593431094
5.0,mb,,West Chile Rise,0,2021-05-20,-96.3368,-36.7269,1621544487740
5.0,mww,,"111 km ENE of ‘Ohonua, Tonga",0,2021-05-20,-173.9245,-21.0329,1621491857545
5.7,mww,green,southern East Pacific Rise,0,2021-05-19,-110.3969,-36.6871,1621446876366
5.0,mb,,Kermadec Islands region,0,2021-05-18,-176.6041,-29.2214,1621389229450
6.7,mww,green,southern East Pacific Rise,0,2021-05-18,-109.3943,-33.0647,1621384939688
5.1,mww,,"215 km WSW of Haveluloto, Tonga",0,2021-05-16,-177.2305,-21.6167,1621211472402
5.4,mww,green,southeast of Easter Island,0,2021-05-14,-91.2729,-41.0747,1621043596092
5.7,mww,green,"187 km SSE of Alo, Wallis and Futuna",0,2021-05-13,-177.5336,-15.9092,1620912694553
6.1,mww,green,"154 km SSE of Punta de Burica, Panama",0,2021-05-13,-82.4146,6.7137,1620898932044
5.5,mww,green,"1 km SE of Pampa de Tate, Peru",0,2021-05-12,-75.678,-14.1557,1620835016300
5.7,mww,green,"234 km SSE of Alo, Wallis and Futuna",0,2021-05-11,-177.5437,-16.3585,1620724870187
5.4,mww,green,Kermadec Islands region,0,2021-05-10,-176.0856,-29.1864,1620655820816
5.1,mb,,"103 km NNE of Neiafu, Tonga",0,2021-05-09,-173.7422,-17.7479,1620611953848
5.2,mww,,central East Pacific Rise,0,2021-05-08,-105.4171,-4.6701,1620447237928
6.1,mww,green,Fiji region,0,2021-05-07,-177.5658,-18.7443,1620430514938
5.0,mww,,south of Tonga,0,2021-05-07,-175.7869,-25.6159,1620361527745
5.1,mb,,"127 km SSE of Pangai, Tonga",0,2021-05-05,-173.7334,-20.8035,1620191793417
5.3,mww,,"134 km SE of Pangai, Tonga",0,2021-05-04,-173.4631,-20.6974,1620177446708
5.5,mww,green,"117 km SSE of Pangai, Tonga",0,2021-05-04,-173.7392,-20.6989,1620157902472
5.1,mb,,"96 km ENE of Neiafu, Tonga",0,2021-05-02,-173.1741,-18.2473,1620014072470
5.1,mww,,"17 km NNE of Santa Isabel, Panama",0,2021-05-01,-79.1576,9.6892,1619849621669
5.2,mww,green,"Kermadec Islands, New Zealand",0,2021-04-29,-177.7379,-29.6157,1619748379128
5.0,mb,,Kermadec Islands region,0,2021-04-29,-176.7418,-29.4702,1619699127486
5.0,mb,,"103 km SSE of Pangai, Tonga",0,2021-04-29,-173.8984,-20.6455,1619690471293
5.0,mb,,Kermadec Islands region,0,2021-04-29,-176.8509,-29.2727,1619680157998
5.0,mb,,Kermadec Islands region,0,2021-04-29,-176.7186,-29.3293,1619679998251
5.5,mb,green,"Kermadec Islands, New Zealand",0,2021-04-29,-177.0123,-29.0903,1619679232451
6.1,mww,green,Kermadec Islands region,0,2021-04-29,-176.3205,-29.339,1619679026915
5.0,mb,,Kermadec Islands region,0,2021-04-28,-176.7996,-29.5158,1619583872171
5.1,mb,,Kermadec Islands region,0,2021-04-27,-176.7309,-29.2521,1619578646072
5.3,mww,,Kermadec Islands region,0,2021-04-27,-176.877,-29.7129,1619545986571
5.1,mb,,Kermadec Islands region,0,2021-04-27,-176.784,-29.4379,1619541790654
5.9,mww,green,Kermadec Islands region,0,2021-04-27,-176.8483,-29.1216,1619541214253
5.0,mb,,Kermadec Islands region,0,2021-04-26,-176.8253,-29.3414,1619484295751
5.2,mb,,Kermadec Islands region,0,2021-04-26,-176.6779,-29.1423,1619471530826
5.7,mww,green,Kermadec Islands region,0,2021-04-26,-176.6817,-29.1325,1619471247653
5.2,mww,green,"Kermadec Islands, New Zealand",0,2021-04-26,-177.482,-29.2248,1619444541701
6.5,mww,green,"207 km WSW of Haveluloto, Tonga",0,2021-04-25,-177.1526,-21.6097,1619389682196
5.0,mb,,Kermadec Islands region,0,2021-04-23,-177.2555,-28.4566,1619231150067
6.5,mww,green,"225 km WNW of Pangai, Tonga",0,2021-04-23,-176.2702,-18.9036,1619223818164
5.1,mb,,"270 km WNW of Haveluloto, Tonga",0,2021-04-23,-177.6995,-20.4345,1619219516428
5.3,mww,,West Chile Rise,0,2021-04-19,-83.8983,-42.2108,1618885564690
5.3,mww,,off the coast of Ecuador,0,2021-04-19,-85.3063,1.5464,1618805405829
5.2,mww,,"Kermadec Islands, New Zealand",0,2021-04-18,-177.1577,-30.2217,1618765419854
5.1,mww,,Kermadec Islands region,0,2021-04-16,-176.4756,-28.4343,1618611190970
5.0,mb,,"Kermadec Islands, New Zealand",0,2021-04-16,-177.7661,-30.4136,1618603218880
5.4,mww,green,Fiji region,0,2021-04-16,-179.3472,-21.7163,1618591230394
