Magnitude,Unit,Alert,Location,Tsunami,Date,Longitude,Latitude,Timestamp
5.6,mww,green,northern Mid-Atlantic Ridge,0,2021-06-26,-44.2416,11.7995,1624730482955
5.3,mwr,,"39 km SSW of Salamanca, Chile",0,2021-06-22,-71.1414,-32.0973,1624389386985
5.0,mb,,South Atlantic Ocean,0,2021-06-21,-47.0016,-52.9462,1624252799716
5.0,mb,,"52 km W of Güiria, Venezuela",0,2021-06-12,-62.7686,10.4856,1623478708328
5.1,mww,,"57 km WSW of San Antonio, Chile",0,2021-06-11,-72.2014,-33.7397,1623468986022
5.4,mww,green,"160 km WNW of Constitución, Chile",0,2021-06-04,-74.0744,-34.866,1622862311766
5.1,mb,,"19 km S of Carora, Venezuela",0,2021-06-03,-70.0634,9.9933,1622740652180
5.0,mb,,central Mid-Atlantic Ridge,0,2021-06-03,-31.5117,3.8327,1622717756800
5.3,mww,green,"81 km SW of Atocha, Bolivia",0,2021-06-01,-66.7478,-21.4751,1622551325725
5.2,mww,,"49 km ENE of Calama, Chile",0,2021-05-20,-68.5197,-22.209,1621535274629
5.1,mww,,"38 km NW of Colonia Dora, Argentina",0,2021-05-19,-63.269,-28.3915,1621436814461
5.0,mww,,"49 km NW of San Antonio de los Cobres, Argentina",0,2021-05-19,-66.6828,-23.9204,1621425895500
5.4,mww,green,"2 km NW of Chuquitira, Peru",0,2021-05-12,-70.0644,-17.2713,1620806003141
5.5,mww,green,North Atlantic Ocean,0,2021-05-07,-48.3997,14.0833,1620387925275
5.8,mww,green,"31 km SW of Coquimbo, Chile",0,2021-05-02,-71.5825,-30.1366,1619938659164
5.6,mww,green,"17 km WSW of Andacollo, Argentina",0,2021-04-28,-70.8302,-37.2631,1619662637665
5.4,mww,green,"17 km SSE of Acarí, Peru",0,2021-04-25,-74.5306,-15.5615,1619394634142
5.5,mww,green,"82 km WSW of San Antonio, Chile",0,2021-04-21,-72.3632,-33.9889,1619050635547
5.0,mww,,"79 km WSW of San Antonio, Chile",0,2021-04-19,-72.3473,-33.9644,1618837526953
5.1,mww,,"81 km WSW of San Antonio, Chile",0,2021-04-19,-72.3656,-33.971,1618830808415
5.2,mww,,"85 km WSW of San Antonio, Chile",0,2021-04-19,-72.409,-33.9804,1618805486478
5.1,mww,,"85 km WSW of San Antonio, Chile",0,2021-04-18,-72.4073,-33.9739,1618802337618
5.0,mb,,central Mid-Atlantic Ridge,0,2021-04-04,-25.3966,0.6553,1617534148641
5.2,mww,green,"134 km ENE of Bathsheba, Barbados",0,2021-03-29,-58.4763,13.8695,1616999709187
5.0,mww,,"91 km ESE of Puerto Gaitán, Colombia",0,2021-03-22,-71.3594,3.9157,1616387861986
5.3,mww,,"34 km N of Monteagudo, Bolivia",0,2021-03-21,-63.9885,-19.4931,1616336236543
5.1,mb,,South Georgia Rise,0,2021-03-12,-28.5127,-50.1737,1615599525481
5.2,mww,,"66 km W of San Antonio de los Cobres, Argentina",0,2021-03-11,-66.9585,-24.3321,1615499676308
5.2,mww,,"95 km NE of Los Andes, Chile",0,2021-03-08,-69.9055,-32.2039,1615207687330
5.5,mww,green,"78 km SW of Islay (Matarani), Peru",0,2021-02-27,-72.5179,-17.581,1614478564838
5.0,mb,,"27 km SSW of Tournavista, Peru",0,2021-02-20,-74.8122,-9.158,1613850585801
5.0,mwr,,"55 km WSW of Iquique, Chile",0,2021-02-13,-70.5959,-20.4858,1613242181601
5.1,mwr,,"16 km SW of Illapel, Chile",0,2021-02-10,-71.2806,-31.753,1612988309637
5.0,mb,,"11 km NW of El Triunfo ( El Cruce), Peru",0,2021-02-08,-71.9155,-16.4072,1612818659786
5.5,mww,yellow,"82 km SSE of Lethem, Guyana",0,2021-01-31,-59.5879,2.6675,1612119914367
5.2,mww,,"35 km NW of Iquique, Chile",0,2021-01-30,-70.3542,-19.9589,1612013099060
5.7,mww,green,"41 km ENE of Villa Presidente Frei, Ñuñoa, Santiago, Chile, Chile",0,2021-01-23,-70.1484,-33.3533,1611446865266
5.3,mb,,"23 km WSW of Pocito, Argentina",0,2021-01-18,-68.7944,-31.7882,1611027464722
6.4,mww,yellow,"26 km SW of Pocito, Argentina",1,2021-01-18,-68.7992,-31.8334,1611024382380
5.1,mww,,"51 km SSW of Ovalle, Chile",0,2021-01-15,-71.3822,-31.0388,1610769216356
6.1,mww,green,"32 km NW of San Antonio de los Cobres, Argentina",0,2021-01-09,-66.5729,-24.0412,1610250854483
5.2,mb,,central Mid-Atlantic Ridge,0,2021-01-03,-28.181,1.0057,1609651520355
6.7,mww,green,"146 km WNW of Corral, Chile",1,2020-12-27,-74.9849,-39.3398,1609105154770
5.1,mww,,"114 km SE of Arica, Chile",0,2020-12-27,-69.4161,-19.079,1609077320945
5.7,mww,green,"25 km SSE of Atiquipa, Peru",0,2020-12-27,-74.3085,-16.0229,1609053070861
5.6,mww,green,"2 km SSE of Quequeña, Peru",0,2020-12-16,-71.4433,-16.5756,1608140924849
6.0,mww,green,"75 km NNE of Calama, Chile",0,2020-12-14,-68.7079,-21.8063,1607959249542
5.0,mww,,"50 km NNW of La Ligua, Chile",0,2020-12-08,-71.5075,-32.0622,1607411240597
6.1,mww,green,"115 km E of Iquique, Chile",0,2020-12-06,-69.0609,-20.3947,1607273262643
5.0,mb,,"32 km NW of Villa Basilio Nievas, Argentina",0,2020-12-04,-68.9453,-31.3225,1607060903090
5.1,mww,,"45 km NNW of San Antonio de los Cobres, Argentina",0,2020-12-03,-66.5468,-23.8622,1607054777720
5.2,mww,,"104 km NW of Villa General Roca, Argentina",0,2020-12-02,-67.141,-31.9253,1606963046432
5.2,mww,,"125 km ESE of Antofagasta, Chile",0,2020-12-02,-69.3203,-24.2149,1606928435810
6.3,mww,green,,0,2020-11-30,-67.0048,-24.3221,1606776903914
5.8,mww,green,"33 km E of Humahuaca, Argentina",0,2020-11-29,-65.0281,-23.2591,1606668043995
6.1,mww,green,"100 km NW of Constitución, Chile",0,2020-11-21,-73.0596,-34.5978,1606006496794
5.5,mww,green,"42 km SW of Ovalle, Chile",0,2020-11-20,-71.4511,-30.9181,1605924708221
5.3,mww,,"123 km W of San Antonio de los Cobres, Argentina",0,2020-11-15,-67.5284,-24.1244,1605443595076
5.3,mww,,central Mid-Atlantic Ridge,0,2020-11-08,-28.2474,0.9936,1604817074536
5.9,mww,green,northern Mid-Atlantic Ridge,0,2020-10-30,-43.5286,10.6312,1604047121148
5.8,mww,green,"64 km N of La Serena, Chile",0,2020-10-28,-71.2397,-29.3186,1603896791368
5.5,mww,green,"34 km W of Rauco, Chile",0,2020-10-28,-71.6926,-34.8887,1603860752177
5.3,mww,green,"88 km WNW of Iquique, Chile",0,2020-10-25,-70.9641,-20.0026,1603660634828
5.0,mb,,"21 km NW of Londres, Argentina",0,2020-10-23,-67.2969,-27.5866,1603470595557
5.7,mww,green,"46 km WSW of Taltal, Chile",0,2020-10-21,-70.9323,-25.5231,1603271586593
