Year,Magnitude,Unit,Alert,Location,Tsunami,Date,Longitude,Latitude,Timestamp,Severity
1990,79,79,0,79,79,79,79,79,79,79
1991,75,75,0,75,75,75,75,75,75,75
1992,88,88,0,88,88,88,88,88,88,88
1993,70,70,0,70,70,70,70,70,70,70
1994,79,79,0,79,79,79,79,79,79,79
1995,99,99,0,99,99,99,99,99,99,99
1996,49,49,0,49,49,49,49,49,49,49
1997,86,86,0,86,86,86,86,86,86,86
1998,85,85,0,84,85,85,85,85,85,85
1999,58,58,0,57,58,58,58,58,58,58
2000,51,51,0,51,51,51,51,51,51,51
2001,148,148,0,148,148,148,148,148,148,148
2002,65,65,0,65,65,65,65,65,65,65
2003,63,63,0,62,63,63,63,63,63,63
2004,77,77,0,77,77,77,77,77,77,77
2005,69,69,0,69,69,69,69,69,69,69
2006,111,111,0,110,111,111,111,111,111,111
2007,154,154,0,154,154,154,154,154,154,154
2008,91,91,0,89,91,91,91,91,91,91
2009,88,88,0,87,88,88,88,88,88,88
2010,468,468,0,467,468,468,468,468,468,468
2011,147,147,0,145,147,147,147,147,147,147
2012,82,82,0,82,82,82,82,82,82,82
2013,72,72,27,72,72,72,72,72,72,72
2014,196,196,72,194,196,196,196,196,196,196
2015,201,201,92,200,201,201,201,201,201,201
2016,125,125,39,123,125,125,125,125,125,125
2017,114,114,40,114,114,114,114,114,114,114
2018,80,80,26,79,80,80,80,80,80,80
2019,100,100,41,100,100,100,100,100,100,100
2020,97,97,44,95,97,97,97,97,97,97
2021,42,42,15,42,42,42,42,42,42,42
