Year,Magnitude,Unit,Alert,Location,Tsunami,Date,Longitude,Latitude,Timestamp,Severity
1990,469,469,0,465,469,469,469,469,469,469
1991,448,448,1,444,448,448,448,448,448,448
1992,469,469,0,466,469,469,469,469,469,469
1993,395,395,1,389,395,395,395,395,395,395
1994,358,358,0,355,358,358,358,358,358,358
1995,390,390,0,385,390,390,390,390,390,390
1996,292,292,0,289,292,292,292,292,292,292
1997,337,337,0,333,337,337,337,337,337,337
1998,323,323,0,321,323,323,323,323,323,323
1999,296,296,3,293,296,296,296,296,296,296
2000,313,313,0,311,313,313,313,313,313,313
2001,442,442,3,440,442,442,442,442,442,442
2002,373,373,1,370,373,373,373,373,373,373
2003,321,321,0,319,321,321,321,321,321,321
2004,433,433,2,428,433,433,433,433,433,433
2005,413,413,2,407,413,413,413,413,413,413
2006,555,555,1,544,555,555,555,555,555,555
2007,654,654,0,651,654,654,654,654,654,654
2008,542,542,6,532,542,542,542,542,542,542
2009,638,638,4,623,638,638,638,638,638,638
2010,948,948,10,942,948,948,948,948,948,948
2011,673,673,2,665,673,673,673,673,673,673
2012,445,445,2,440,445,445,445,445,445,445
2013,323,323,116,321,323,323,323,323,323,323
2014,548,548,219,536,548,548,548,548,548,548
2015,538,538,215,531,538,538,538,538,538,538
2016,448,448,164,444,448,448,448,448,448,448
2017,446,446,158,443,446,446,446,446,446,446
2018,511,511,192,508,511,511,511,511,511,511
2019,481,481,211,474,481,481,481,481,481,481
2020,464,464,233,460,464,464,464,464,464,464
2021,413,413,166,406,413,413,413,413,413,413
